env,method,return_mean,return_std,viol_mean,viol_std,n_seeds
quadrotor2d_stab,SAC,196.04052487095495,0.988477059081653,0.0064,0.0006531972647421811,3
quadrotor2d_stab,SAC-Penalty,195.27824507802697,0.4575382414771731,0.0030666666666666668,0.00018856180831641273,3
quadrotor2d_stab,SAC-Lagrangian,196.32832961110987,1.7431302064285614,0.0048000000000000004,0.0006531972647421808,3
quadrotor2d_stab,KCBF-SAC,195.5230575365341,1.630766575681738,0.0041333333333333335,0.0012364824660660938,3
quadrotor2d_stab,LQR,72.38760148857753,0.0,0.6402023718537364,0.0,1
quadrotor2d_track,SAC,195.81139034878802,0.22650502662741592,0.12546666666666667,0.013726211745739932,3
quadrotor2d_track,SAC-Penalty,192.68400027161496,1.0779379598261234,0.006666666666666667,0.0008219218670625303,3
quadrotor2d_track,SAC-Lagrangian,194.27760445783213,0.7077380858031899,0.015333333333333336,0.004349201714746692,3
quadrotor2d_track,KCBF-SAC,170.568216873296,32.10795694073419,0.00402222222222222,0.001454834426962922,3
quadrotor2d_track,LQR,84.50560074989492,0.0,0.6982744132853722,0.0,1
